0
AT-Paddy rice
AT-Wheat
AT-Cereal grains nec
"AT-Vegetables, fruit, nuts"
AT-Oil seeds
"AT-Sugar cane, sugar beet"
AT-Plant-based fibers
AT-Crops nec
AT-Cattle
AT-Pigs
AT-Poultry
AT-Meat animals nec
AT-Animal products nec
AT-Raw milk
"AT-Wool, silk-worm cocoons"
AT-Manure (conventional treatment)
AT-Manure (biogas treatment)
"AT-Products of forestry, logging and related services (02)"
AT-Fish and other fishing products; services incidental of fishing (05)
AT-Anthracite
AT-Coking Coal
AT-Other Bituminous Coal
AT-Sub-Bituminous Coal
AT-Patent Fuel
AT-Lignite/Brown Coal
AT-BKB/Peat Briquettes
AT-Peat
"AT-Crude petroleum and services related to crude oil extraction, excluding surveying"
"AT-Natural gas and services related to natural gas extraction, excluding surveying"
AT-Natural Gas Liquids
AT-Other Hydrocarbons
AT-Uranium and thorium ores (12)
AT-Iron ores
AT-Copper ores and concentrates
AT-Nickel ores and concentrates
AT-Aluminium ores and concentrates
AT-Precious metal ores and concentrates
"AT-Lead, zinc and tin ores and concentrates"
AT-Other non-ferrous metal ores and concentrates
AT-Stone
AT-Sand and clay
"AT-Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
AT-Products of meat cattle
AT-Products of meat pigs
AT-Products of meat poultry
AT-Meat products nec
AT-products of Vegetable oils and fats
AT-Dairy products
AT-Processed rice
AT-Sugar
AT-Food products nec
AT-Beverages
AT-Fish products
AT-Tobacco products (16)
AT-Textiles (17)
AT-Wearing apparel; furs (18)
AT-Leather and leather products (19)
AT-Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
"AT-Wood material for treatment, Re-processing of secondary wood material into new wood material"
AT-Pulp
"AT-Secondary paper for treatment, Re-processing of secondary paper into new pulp"
AT-Paper and paper products
AT-Printed matter and recorded media (22)
AT-Coke Oven Coke
AT-Gas Coke
AT-Coal Tar
AT-Motor Gasoline
AT-Aviation Gasoline
AT-Gasoline Type Jet Fuel
AT-Kerosene Type Jet Fuel
AT-Kerosene
AT-Gas/Diesel Oil
AT-Heavy Fuel Oil
AT-Refinery Gas
AT-Liquefied Petroleum Gases (LPG)
AT-Refinery Feedstocks
AT-Ethane
AT-Naphtha
AT-White Spirit & SBP
AT-Lubricants
AT-Bitumen
AT-Paraffin Waxes
AT-Petroleum Coke
AT-Non-specified Petroleum Products
AT-Nuclear fuel
"AT-Plastics, basic"
"AT-Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
AT-N-fertiliser
AT-P- and other fertiliser
AT-Chemicals nec
AT-Charcoal
AT-Additives/Blending Components
AT-Biogasoline
AT-Biodiesels
AT-Other Liquid Biofuels
AT-Rubber and plastic products (25)
AT-Glass and glass products
"AT-Secondary glass for treatment, Re-processing of secondary glass into new glass"
AT-Ceramic goods
"AT-Bricks, tiles and construction products, in baked clay"
"AT-Cement, lime and plaster"
"AT-Ash for treatment, Re-processing of ash into clinker"
AT-Other non-metallic mineral products
AT-Basic iron and steel and of ferro-alloys and first products thereof
"AT-Secondary steel for treatment, Re-processing of secondary steel into new steel"
AT-Precious metals
"AT-Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
AT-Aluminium and aluminium products
"AT-Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
"AT-Lead, zinc and tin and products thereof"
"AT-Secondary lead for treatment, Re-processing of secondary lead into new lead"
AT-Copper products
"AT-Secondary copper for treatment, Re-processing of secondary copper into new copper"
AT-Other non-ferrous metal products
